From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Aon,1 hour 28 mins,2025-07-01 15:30:46.980822,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 15:30:46.980822,driving,,42 mins
Harpur Lane,Aon,1 hour 33 mins,2025-07-01 15:45:48.829302,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 15:45:48.829302,driving,,43 mins
Harpur Lane,Aon,1 hour 12 mins,2025-07-01 16:00:50.815583,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 16:00:50.815583,driving,,43 mins
Harpur Lane,Aon,1 hour 12 mins,2025-07-01 16:15:52.683663,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 16:15:52.683663,driving,,44 mins
Harpur Lane,Aon,1 hour 29 mins,2025-07-01 16:30:54.651222,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 16:30:54.651222,driving,,43 mins
Harpur Lane,Aon,1 hour 22 mins,2025-07-01 16:45:56.651295,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 16:45:56.651295,driving,,42 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 17:00:58.295614,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 17:00:58.295614,driving,,42 mins
Harpur Lane,Aon,1 hour 9 mins,2025-07-01 17:16:00.147102,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 17:16:00.147102,driving,,42 mins
Harpur Lane,Aon,1 hour 22 mins,2025-07-01 17:31:01.825884,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 17:31:01.825884,driving,,42 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-01 17:46:03.634363,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,39 mins,2025-07-01 17:46:03.634363,driving,,41 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-01 18:01:05.256135,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 18:01:05.256135,driving,,40 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-01 18:16:06.948183,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 18:16:06.948183,driving,,40 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 18:31:08.983391,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,38 mins,2025-07-01 18:31:08.983391,driving,,37 mins
Harpur Lane,Aon,1 hour 14 mins,2025-07-01 18:46:11.037852,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 18:46:11.037852,driving,,35 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-01 19:01:12.717503,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 19:01:12.717503,driving,,32 mins
Harpur Lane,Aon,1 hour 3 mins,2025-07-01 19:16:14.258140,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Harpur Lane,Aon,31 mins,2025-07-01 19:16:14.258140,driving,,32 mins
