From, To, Duration, Time, Mode, Warnings, Time in Traffic
Harpur Lane,Bank Of America,26 mins,2025-07-01 19:16:13.993707,driving,,29 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 19:31:15.658521,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 19:46:17.416615,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 20:01:19.071304,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 20:16:20.496809,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 20:31:22.040315,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 20:46:23.556239,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 21:01:24.963976,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 21:16:26.556482,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 21:31:28.192313,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-01 23:00:00.640908,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 06:30:02.293121,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 06:45:03.786097,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 07:00:05.467331,driving,,36 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 07:15:06.793593,driving,,37 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 07:30:08.346166,driving,,36 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 07:45:09.881508,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 08:00:11.279778,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 08:15:12.830852,driving,,34 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 08:30:14.310711,driving,,32 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 08:45:15.779642,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 09:00:17.455435,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 09:15:18.867770,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 09:30:20.365490,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 09:45:22.005083,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 10:00:23.489968,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 10:15:24.838486,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 10:30:26.537723,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 18:00:00.271893,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 18:15:02.611076,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 18:30:05.178176,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 18:45:07.647289,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 19:00:10.001783,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 19:15:11.965030,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 19:30:14.208690,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 19:45:16.464932,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 20:00:18.576359,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 20:15:20.538776,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 20:30:23.668430,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 20:45:25.947199,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 21:00:27.880295,driving,,24 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 21:15:29.937886,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-02 21:30:32.067201,driving,,25 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 06:30:33.991113,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 06:45:35.768757,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 07:00:37.590009,driving,,33 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 07:15:39.391074,driving,,33 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 07:30:41.489408,driving,,32 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 07:45:43.462490,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 08:00:45.566904,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 08:15:47.422023,driving,,31 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 08:30:49.385592,driving,,30 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 08:45:51.341933,driving,,32 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 09:00:53.479607,driving,,28 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 09:15:55.840227,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 09:30:57.834907,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 09:46:00.017210,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 10:01:01.882009,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 10:16:03.668903,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 10:31:05.540814,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 10:46:07.737805,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 11:01:09.673179,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 11:16:11.727075,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 11:31:13.720997,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 11:46:15.786779,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 12:01:17.540169,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 12:16:19.474352,driving,,26 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 12:31:21.573925,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 12:46:23.477812,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 13:01:25.556431,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 13:16:27.645354,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 13:31:29.704315,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 13:46:31.720391,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 14:01:33.908051,driving,,27 mins
Harpur Lane,Bank Of America,26 mins,2025-07-03 14:16:35.943990,driving,,27 mins
