From, To, Duration, Time, Mode, Warnings, Time in Traffic
Aon,Harpur Lane,1 hour 7 mins,2025-06-30 15:00:12.018565,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 15:00:12.315757,driving,,37 mins
Aon,Harpur Lane,1 hour 29 mins,2025-06-30 15:15:13.681247,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 15:15:14.121365,driving,,38 mins
Aon,Harpur Lane,1 hour 13 mins,2025-06-30 15:30:15.459610,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 15:30:15.961794,driving,,43 mins
Aon,Harpur Lane,1 hour 14 mins,2025-06-30 15:45:17.367797,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 15:45:17.867269,driving,,45 mins
Aon,Harpur Lane,1 hour 13 mins,2025-06-30 16:00:19.176917,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 16:00:19.723572,driving,,48 mins
Aon,Harpur Lane,1 hour 21 mins,2025-06-30 16:15:21.132410,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 16:15:21.529121,driving,,48 mins
Aon,Harpur Lane,1 hour 24 mins,2025-06-30 16:30:22.880594,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 16:30:23.458189,driving,,45 mins
Aon,Harpur Lane,1 hour 15 mins,2025-06-30 16:45:24.935430,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 16:45:25.424221,driving,,45 mins
Aon,Harpur Lane,1 hour 15 mins,2025-06-30 17:00:26.832128,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 17:00:27.289807,driving,,48 mins
Aon,Harpur Lane,1 hour 21 mins,2025-06-30 17:14:40.112149,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 17:14:40.606080,driving,,47 mins
Aon,Harpur Lane,1 hour 21 mins,2025-06-30 17:15:28.628110,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 17:15:29.024684,driving,,48 mins
Aon,Harpur Lane,1 hour 18 mins,2025-06-30 17:30:30.284468,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 17:30:30.687528,driving,,44 mins
Aon,Harpur Lane,1 hour 20 mins,2025-06-30 17:45:31.995788,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 17:45:32.336403,driving,,42 mins
Aon,Harpur Lane,1 hour 8 mins,2025-06-30 18:00:33.692934,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 18:00:34.050331,driving,,43 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 18:15:35.325612,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 18:15:35.760217,driving,,43 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 18:30:37.235147,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 18:30:37.575643,driving,,38 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 18:45:38.770930,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,35 mins,2025-06-30 18:45:39.100203,driving,,35 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 19:00:40.436398,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 19:00:40.899804,driving,,33 mins
Aon,Harpur Lane,1 hour 21 mins,2025-06-30 19:15:42.112844,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 19:15:42.490110,driving,,31 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 19:30:43.641437,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 19:30:44.013811,driving,,32 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 19:45:45.226626,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 19:45:45.606782,driving,,33 mins
Aon,Harpur Lane,1 hour 1 min,2025-06-30 20:00:46.788855,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 20:00:47.164109,driving,,32 mins
Aon,Harpur Lane,1 hour 22 mins,2025-06-30 20:15:48.298666,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 20:15:48.681286,driving,,30 mins
Aon,Harpur Lane,53 mins,2025-06-30 20:30:49.867577,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 20:30:50.256077,driving,,31 mins
Aon,Harpur Lane,53 mins,2025-06-30 20:45:51.402779,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 20:45:51.751656,driving,,30 mins
Aon,Harpur Lane,53 mins,2025-06-30 21:00:52.890419,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 21:00:53.293067,driving,,31 mins
Aon,Harpur Lane,1 hour 25 mins,2025-06-30 21:15:54.605797,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 21:15:55.026543,driving,,30 mins
Aon,Harpur Lane,53 mins,2025-06-30 21:30:56.289202,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 21:30:56.636976,driving,,30 mins
Aon,Harpur Lane,53 mins,2025-06-30 21:45:57.850855,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 21:45:58.214965,driving,,30 mins
Aon,Harpur Lane,53 mins,2025-06-30 22:00:59.377663,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 22:00:59.682098,driving,,29 mins
Aon,Harpur Lane,53 mins,2025-06-30 22:16:00.750417,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 22:16:01.188555,driving,,28 mins
Aon,Harpur Lane,53 mins,2025-06-30 22:31:02.521323,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,33 mins,2025-06-30 22:31:02.846090,driving,,29 mins
Aon,Harpur Lane,53 mins,2025-06-30 22:46:04.036857,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 22:46:04.436140,driving,,29 mins
Aon,Harpur Lane,1 hour 15 mins,2025-06-30 23:01:05.615205,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 23:01:05.961680,driving,,29 mins
Aon,Harpur Lane,1 hour 15 mins,2025-06-30 23:16:07.140950,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 23:16:07.502088,driving,,31 mins
Aon,Harpur Lane,1 hour 23 mins,2025-06-30 23:31:08.702171,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 23:31:09.078724,driving,,30 mins
Aon,Harpur Lane,55 mins,2025-06-30 23:46:10.323520,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-06-30 23:46:10.736216,driving,,30 mins
Aon,Harpur Lane,55 mins,2025-07-01 00:00:01.391380,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-07-01 00:00:01.391380,driving,,28 mins
Aon,Harpur Lane,1 hour 1 min,2025-07-01 08:45:01.512251,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-07-01 08:45:01.512251,driving,,42 mins
Aon,Harpur Lane,1 hour 1 min,2025-07-01 09:00:01.446637,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
Aon,Harpur Lane,36 mins,2025-07-01 09:00:01.446637,driving,,39 mins
Aon,Harpur Lane,1 hour 16 mins,2025-07-01 09:15:03.288300,transit,['Walking directions are in beta. Use caution – This route may be missing sidewalks or pedestrian paths.'],0
